date,province_thai,province_eng,region_thai,region_eng,variable,value
01-01-19,สระบุรี,Saraburi ,ภาคกลาง,central,no_tourist_occupied,89850
01-01-19,ชัยนาท,Chainat ,ภาคกลาง,central,no_tourist_occupied,27141
01-01-19,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,no_tourist_occupied,118629
01-01-19,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,no_tourist_occupied,18147
01-01-19,อ่างทอง,Ang Thong ,ภาคกลาง,central,no_tourist_occupied,19140
01-01-19,นนทบุรี,Nonthaburi ,ภาคกลาง,central,no_tourist_occupied,100553
01-01-19,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,no_tourist_occupied,56118
01-01-19,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,no_tourist_occupied,109185
01-01-19,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,no_tourist_occupied,56561
01-01-19,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,no_tourist_occupied,38687
01-01-19,ราชบุรี,Ratchaburi ,ภาคกลาง,central,no_tourist_occupied,93978
01-01-19,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,no_tourist_occupied,339491
01-01-19,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,no_tourist_occupied,65407
01-01-19,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,no_tourist_occupied,99531
01-01-19,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,no_tourist_occupied,357725
01-01-19,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,no_tourist_occupied,391494
01-01-19,ชลบุรี,Chonburi ,ภาคตะวันออก,east,no_tourist_occupied,1343262
01-01-19,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,no_tourist_occupied,118776
01-01-19,ตราด,Trat ,ภาคตะวันออก,east,no_tourist_occupied,205330
01-01-19,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,no_tourist_occupied,140711
01-01-19,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,no_tourist_occupied,106063
01-01-19,ระยอง,Rayong ,ภาคตะวันออก,east,no_tourist_occupied,377300
01-01-19,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,no_tourist_occupied,69400
01-01-19,ภูเก็ต,Phuket ,ภาคใต้,south,no_tourist_occupied,1528585
01-01-19,พัทลุง,Phatthalung ,ภาคใต้,south,no_tourist_occupied,67285
01-01-19,ตรัง,Trang ,ภาคใต้,south,no_tourist_occupied,131744
01-01-19,ระนอง,Ranong ,ภาคใต้,south,no_tourist_occupied,85886
01-01-19,ชุมพร,Chumphon ,ภาคใต้,south,no_tourist_occupied,92831
01-01-19,ปัตตานี,Pattani ,ภาคใต้,south,no_tourist_occupied,18105
01-01-19,ยะลา,Yala ,ภาคใต้,south,no_tourist_occupied,49144
01-01-19,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,no_tourist_occupied,245874
01-01-19,นราธิวาส,Narathiwat ,ภาคใต้,south,no_tourist_occupied,53863
01-01-19,กระบี่,Krabi ,ภาคใต้,south,no_tourist_occupied,348964
01-01-19,สงขลา,Songkhla ,ภาคใต้,south,no_tourist_occupied,431256
01-01-19,พังงา,Phang Nga ,ภาคใต้,south,no_tourist_occupied,128033
01-01-19,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,no_tourist_occupied,484886
01-01-19,สตูล,Satun ,ภาคใต้,south,no_tourist_occupied,88512
01-01-19,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,no_tourist_occupied,45815
01-01-19,เชียงราย,Chiang Rai ,ภาคเหนือ,north,no_tourist_occupied,403624
01-01-19,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,no_tourist_occupied,928602
01-01-19,พิจิตร,Phichit ,ภาคเหนือ,north,no_tourist_occupied,46475
01-01-19,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,no_tourist_occupied,118061
01-01-19,ตาก,Tak ,ภาคเหนือ,north,no_tourist_occupied,182684
01-01-19,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,no_tourist_occupied,202934
01-01-19,พะเยา,Phayao ,ภาคเหนือ,north,no_tourist_occupied,33961
01-01-19,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,no_tourist_occupied,214329
01-01-19,แพร่,Phrae ,ภาคเหนือ,north,no_tourist_occupied,35764
01-01-19,ลำปาง,Lampang ,ภาคเหนือ,north,no_tourist_occupied,69285
01-01-19,ลำพูน,Lamphun ,ภาคเหนือ,north,no_tourist_occupied,27710
01-01-19,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,no_tourist_occupied,137937
01-01-19,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,no_tourist_occupied,65695
01-01-19,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,no_tourist_occupied,30736
01-01-19,สุโขทัย,Sukhothai ,ภาคเหนือ,north,no_tourist_occupied,89231
01-01-19,น่าน,Nan ,ภาคเหนือ,north,no_tourist_occupied,95902
01-01-19,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,23197
01-01-19,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,244958
01-01-19,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,72160
01-01-19,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,46232
01-01-19,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,529946
01-01-19,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,113655
01-01-19,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,45480
01-01-19,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,70953
01-01-19,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,43424
01-01-19,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,130458
01-01-19,ศรีสะเกษ,Sisaket ,ภาคใต้,south,no_tourist_occupied,44457
01-01-19,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,100932
01-01-19,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,118898
01-01-19,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,37974
01-01-19,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,189778
01-01-19,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,147377
01-01-19,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,66034
01-01-19,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,17237
01-01-19,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,8551
01-01-19,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_occupied,14081
01-01-19,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,no_tourist_all,5959075
01-01-19,ลพบุรี,Lopburi ,ภาคกลาง,central,no_tourist_all,268664
01-01-19,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,no_tourist_all,730329
01-01-19,สระบุรี,Saraburi ,ภาคกลาง,central,no_tourist_all,207236
01-01-19,ชัยนาท,Chainat ,ภาคกลาง,central,no_tourist_all,79073
01-01-19,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,no_tourist_all,296107
01-01-19,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,no_tourist_all,49438
01-01-19,อ่างทอง,Ang Thong ,ภาคกลาง,central,no_tourist_all,104097
01-01-19,นนทบุรี,Nonthaburi ,ภาคกลาง,central,no_tourist_all,323717
01-01-19,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,no_tourist_all,233295
01-01-19,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,no_tourist_all,408652
01-01-19,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,no_tourist_all,109253
01-01-19,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,no_tourist_all,270438
01-01-19,ราชบุรี,Ratchaburi ,ภาคกลาง,central,no_tourist_all,236440
01-01-19,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,no_tourist_all,752901
01-01-19,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,no_tourist_all,201751
01-01-19,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,no_tourist_all,235981
01-01-19,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,no_tourist_all,713674
01-01-19,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,no_tourist_all,639052
01-01-19,ชลบุรี,Chonburi ,ภาคตะวันออก,east,no_tourist_all,1570327
01-01-19,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,no_tourist_all,257105
01-01-19,ตราด,Trat ,ภาคตะวันออก,east,no_tourist_all,224218
01-01-19,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,no_tourist_all,278705
01-01-19,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,no_tourist_all,183846
01-01-19,ระยอง,Rayong ,ภาคตะวันออก,east,no_tourist_all,650811
01-01-19,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,no_tourist_all,199751
01-01-19,ภูเก็ต,Phuket ,ภาคใต้,south,no_tourist_all,1690776
01-01-19,พัทลุง,Phatthalung ,ภาคใต้,south,no_tourist_all,120318
01-01-19,ตรัง,Trang ,ภาคใต้,south,no_tourist_all,173715
01-01-19,ระนอง,Ranong ,ภาคใต้,south,no_tourist_all,110844
01-01-19,ชุมพร,Chumphon ,ภาคใต้,south,no_tourist_all,116543
01-01-19,ปัตตานี,Pattani ,ภาคใต้,south,no_tourist_all,22499
01-01-19,ยะลา,Yala ,ภาคใต้,south,no_tourist_all,52984
01-01-19,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,no_tourist_all,384120
01-01-19,นราธิวาส,Narathiwat ,ภาคใต้,south,no_tourist_all,66654
01-01-19,กระบี่,Krabi ,ภาคใต้,south,no_tourist_all,564380
01-01-19,สงขลา,Songkhla ,ภาคใต้,south,no_tourist_all,774786
01-01-19,พังงา,Phang Nga ,ภาคใต้,south,no_tourist_all,536274
01-01-19,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,no_tourist_all,540614
01-01-19,สตูล,Satun ,ภาคใต้,south,no_tourist_all,210906
01-01-19,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,no_tourist_all,74421
01-01-19,เชียงราย,Chiang Rai ,ภาคเหนือ,north,no_tourist_all,453291
01-01-19,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,no_tourist_all,1173786
01-01-19,พิจิตร,Phichit ,ภาคเหนือ,north,no_tourist_all,64359
01-01-19,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,no_tourist_all,189826
01-01-19,ตาก,Tak ,ภาคเหนือ,north,no_tourist_all,241654
01-01-19,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,no_tourist_all,387608
01-01-19,พะเยา,Phayao ,ภาคเหนือ,north,no_tourist_all,80767
01-01-19,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,no_tourist_all,255911
01-01-19,แพร่,Phrae ,ภาคเหนือ,north,no_tourist_all,83792
01-01-19,ลำปาง,Lampang ,ภาคเหนือ,north,no_tourist_all,117418
01-01-19,ลำพูน,Lamphun ,ภาคเหนือ,north,no_tourist_all,117882
01-01-19,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,no_tourist_all,146468
01-01-19,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,no_tourist_all,125154
01-01-19,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,no_tourist_all,76665
01-01-19,สุโขทัย,Sukhothai ,ภาคเหนือ,north,no_tourist_all,150621
01-01-19,น่าน,Nan ,ภาคเหนือ,north,no_tourist_all,113649
01-01-19,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,62141
01-01-19,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,639369
01-01-19,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,136109
01-01-19,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,104305
01-01-19,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,1012772
01-01-19,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,185563
01-01-19,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,72804
01-01-19,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,218485
01-01-19,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,84761
01-01-19,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,212225
01-01-19,ศรีสะเกษ,Sisaket ,ภาคใต้,south,no_tourist_all,185521
01-01-19,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,134324
01-01-19,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,259265
01-01-19,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,65978
01-01-19,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,282871
01-01-19,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,316431
01-01-19,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,116238
01-01-19,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,59234
01-01-19,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,21790
01-01-19,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,no_tourist_all,36343
01-01-19,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,no_tourist_thai,3534061
01-01-19,ลพบุรี,Lopburi ,ภาคกลาง,central,no_tourist_thai,266301
01-01-19,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,no_tourist_thai,561553
01-01-19,สระบุรี,Saraburi ,ภาคกลาง,central,no_tourist_thai,201400
01-01-19,ชัยนาท,Chainat ,ภาคกลาง,central,no_tourist_thai,78514
01-01-19,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,no_tourist_thai,284408
01-01-19,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,no_tourist_thai,49190
01-01-19,อ่างทอง,Ang Thong ,ภาคกลาง,central,no_tourist_thai,98816
01-01-19,นนทบุรี,Nonthaburi ,ภาคกลาง,central,no_tourist_thai,293344
01-01-19,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,no_tourist_thai,172417
01-01-19,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,no_tourist_thai,199324
01-01-19,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,no_tourist_thai,108832
01-01-19,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,no_tourist_thai,266707
01-01-19,ราชบุรี,Ratchaburi ,ภาคกลาง,central,no_tourist_thai,231887
01-01-19,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,no_tourist_thai,707690
01-01-19,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,no_tourist_thai,197952
01-01-19,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,no_tourist_thai,234233
01-01-19,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,no_tourist_thai,643367
01-01-19,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,no_tourist_thai,511080
01-01-19,ชลบุรี,Chonburi ,ภาคตะวันออก,east,no_tourist_thai,632916
01-01-19,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,no_tourist_thai,250149
01-01-19,ตราด,Trat ,ภาคตะวันออก,east,no_tourist_thai,142674
01-01-19,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,no_tourist_thai,276249
01-01-19,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,no_tourist_thai,170721
01-01-19,ระยอง,Rayong ,ภาคตะวันออก,east,no_tourist_thai,581623
01-01-19,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,no_tourist_thai,165131
01-01-19,ภูเก็ต,Phuket ,ภาคใต้,south,no_tourist_thai,357769
01-01-19,พัทลุง,Phatthalung ,ภาคใต้,south,no_tourist_thai,119521
01-01-19,ตรัง,Trang ,ภาคใต้,south,no_tourist_thai,149399
01-01-19,ระนอง,Ranong ,ภาคใต้,south,no_tourist_thai,103790
01-01-19,ชุมพร,Chumphon ,ภาคใต้,south,no_tourist_thai,105960
01-01-19,ปัตตานี,Pattani ,ภาคใต้,south,no_tourist_thai,22345
01-01-19,ยะลา,Yala ,ภาคใต้,south,no_tourist_thai,9567
01-01-19,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,no_tourist_thai,373158
01-01-19,นราธิวาส,Narathiwat ,ภาคใต้,south,no_tourist_thai,24265
01-01-19,กระบี่,Krabi ,ภาคใต้,south,no_tourist_thai,185557
01-01-19,สงขลา,Songkhla ,ภาคใต้,south,no_tourist_thai,532223
01-01-19,พังงา,Phang Nga ,ภาคใต้,south,no_tourist_thai,151483
01-01-19,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,no_tourist_thai,183500
01-01-19,สตูล,Satun ,ภาคใต้,south,no_tourist_thai,190827
01-01-19,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,no_tourist_thai,72183
01-01-19,เชียงราย,Chiang Rai ,ภาคเหนือ,north,no_tourist_thai,386065
